name,website_url,scholarship_url,annual_cost_min,annual_cost_max,financial_aid_available,state,city,region,campus_setting,majors,academic_reputation,faculty_quality,avg_class_size,graduation_rate,avg_starting_salary,job_placement_rate,student_population,campus_culture,safety_rating,latitude,longitude,career_services_rating,athletics_division,athletics_rating,facilities_rating,institution_type
Boston University,https://www.bu.edu,https://www.bu.edu/finaid/,63798,85202,8,MA,Boston,Northeast,Urban,"Business,Communication,Engineering,International Relations,Film",8,8,20,88,76000,88,37217,Diverse,7,42.3505,-71.1054,8,D1,7,8,4-year
New York University,https://www.nyu.edu,https://www.nyu.edu/students/student-information-and-resources/financial-aid-and-scholarships.html,64086,87426,7,NY,New York,Northeast,Urban,"Business,Film,Arts,Liberal Arts,Public Policy",9,8,19,87,82000,89,59144,Diverse,6,40.7295,-73.9965,9,D3,4,8,4-year
Georgia Institute of Technology,https://www.gatech.edu,https://finaid.gatech.edu/,31370,49508,7,GA,Atlanta,Southeast,Urban,"Engineering,Computer Science,Business,Sciences,Design",9,9,22,91,85000,93,40290,Academic-focused,7,33.7756,-84.3963,9,D1,7,8,4-year
University of North Carolina Chapel Hill,https://www.unc.edu,https://financialaid.unc.edu/,24778,48070,8,NC,Chapel Hill,Southeast,Suburban,"Business,Journalism,Liberal Arts,Public Health,Education",9,8,21,91,70000,90,31705,Social,8,35.9049,-79.0469,8,D1,9,8,4-year
Santa Monica College,https://www.smc.edu,https://www.smc.edu/student-support/pay-for-college/scholarships.php,8462,10980,6,CA,Santa Monica,West Coast,Urban,"Liberal Arts,Sciences,Business,Arts,Transfer Programs",6,6,28,45,42000,70,28123,Diverse,7,34.0195,-118.4912,6,None,3,6,Community College
Austin Community College,https://www.austincc.edu,https://www.austincc.edu/financial-aid/scholarships,9870,12654,6,TX,Austin,Southwest,Urban,"Liberal Arts,Business,Sciences,Health Sciences,IT",6,6,25,42,40000,68,43317,Diverse,6,30.3242,-97.7466,6,None,4,6,Community College
Northern Virginia Community College,https://www.nvcc.edu,https://www.nvcc.edu/financialaid/scholarships/,10350,13824,6,VA,Annandale,Northeast,Suburban,"Liberal Arts,Business,Engineering,IT,Health Sciences",6,6,26,40,45000,72,51559,Diverse,7,38.8304,-77.1773,6,None,3,6,Community College
Miami Dade College,https://www.mdc.edu,https://www.mdc.edu/main/scholarships/,9240,11568,5,FL,Miami,Southeast,Urban,"Liberal Arts,Business,Health Sciences,Engineering,Arts",5,5,30,38,38000,65,58093,Diverse,6,25.7617,-80.1918,5,None,3,5,Community College
San Francisco State University,https://www.sfsu.edu,https://financialaid.sfsu.edu/scholarships,24648,42396,6,CA,San Francisco,West Coast,Urban,"Business,Liberal Arts,Engineering,Education,Cinema",6,6,28,58,60000,75,25282,Liberal,6,37.7219,-122.4782,6,D2,5,6,4-year
Florida State University,https://www.fsu.edu,https://studentbusiness.fsu.edu/financial-aid,21673,38547,7,FL,Tallahassee,Southeast,Suburban,"Business,Liberal Arts,Sciences,Film,Music",7,7,27,83,65000,84,44161,Social,7,30.4383,-84.2807,7,D1,9,7,4-year
Penn State University,https://www.psu.edu,https://studentaid.psu.edu/,35514,54628,6,PA,University Park,Northeast,Rural,"Engineering,Business,Agriculture,Liberal Arts,Sciences",8,7,26,85,72000,86,46810,Social,7,40.7982,-77.8599,7,D1,9,8,4-year
University of Illinois Urbana-Champaign,https://illinois.edu,https://osfa.illinois.edu/,31988,48216,7,IL,Urbana,Midwest,Suburban,"Engineering,Business,Agriculture,Liberal Arts,Sciences",9,8,24,85,78000,88,56607,Academic-focused,8,40.1020,-88.2272,8,D1,8,8,4-year
Rutgers University,https://www.rutgers.edu,https://financialaid.rutgers.edu/,31608,49644,6,NJ,New Brunswick,Northeast,Urban,"Business,Engineering,Pharmacy,Liberal Arts,Sciences",7,7,28,81,68000,83,50254,Diverse,7,40.5008,-74.4474,7,D1,7,7,4-year
University of Arizona,https://www.arizona.edu,https://financialaid.arizona.edu/,34016,50688,6,AZ,Tucson,Southwest,Urban,"Business,Engineering,Sciences,Liberal Arts,Optical Sciences",7,7,29,66,63000,79,49403,Social,6,32.2319,-110.9501,6,D1,8,7,4-year
Purdue University,https://www.purdue.edu,https://www.purdue.edu/dfa/,23940,41292,7,IN,West Lafayette,Midwest,Suburban,"Engineering,Business,Agriculture,Sciences,Technology",8,8,25,83,75000,87,50884,Academic-focused,8,40.4237,-86.9212,8,D1,8,8,4-year
Virginia Tech,https://www.vt.edu,https://finaid.vt.edu/,30284,46536,7,VA,Blacksburg,Southeast,Rural,"Engineering,Business,Agriculture,Liberal Arts,Architecture",8,7,24,86,74000,88,37229,Social,8,37.2284,-80.4234,8,D1,9,8,4-year
